Name;Definition;Unit;Source;Type;VarIndex;PltExpoIndex
SOCL(5);amount of soil organic C (= Chumt + Cb) in the layer 5;kg.ha-1;sc;real;0;0
SOC0;amount of soil organic C (= Chumt + Cb) over the profhum depth at time 0;kg.ha-1;sc;real;0;0
SOCbalance;Soil organic C balance (inputs-outputs) over the whole soil profile;kg.ha-1;sc;real;0;0
SOCinputs;Soil organic C inputs to the whole soil profile;kg.ha-1;sc;real;0;0
SOCtot;amount of soil organic C (all organic pools) over the whole soil profile;kg.ha-1;sc;real;0;0
SoilAvW;amount of plant available water in soil over the depth profmes;mm;sc;real;0;0
SoilAvW_by_layers(1);amount of plant available water in soil for layer 1;mm;sc;real;1;0
SoilAvW_by_layers(2);amount of plant available water in soil for layer 2;mm;sc;real;2;0
SoilAvW_by_layers(3);amount of plant available water in soil for layer 3;mm;sc;real;3;0
SoilAvW_by_layers(4);amount of plant available water in soil for layer 4;mm;sc;real;4;0
SoilAvW_by_layers(5);amount of plant available water in soil for layer 5;mm;sc;real;5;0
SoilWatM;amount of plant available water in soil over the depth profmesW;mm;sc;real;0;0
som_HUR;cumulative water content of the soil microporosity;mm;sc;real;0;0
som_sat;cumulative amount of water in the soil macroporosity;mm;sc;real;0;0
somcour;cumulative units of development (upvt) between two stages;degreeC.d;p;real;0;1
somcourdrp;cumulative units of development (upvt) between two reproductive stages;degreeC.d;p;real;0;1
somcourfauche;sum of temperature beetwen 2 cuts of forage crop;degreeC.d;p;real;0;1
somcourmont;cumulative units of development from the start of vernalisation;degreeC.d;p;real;0;1
somdifftculttair;cumulative temperature difference (tcult-tair) during the simulation period;degreeC;c;real;0;0
somtemp;sum of temperatures (expressed in Q10 =sum (2.0 ** (udevair ou udevcult / 10.));degreeC.d;p;real;0;1
somudevair;sum of air temperature (udevair) from sowing to harvest;degreeC;p;real;0;1
somudevcult;sum of crop temperature (udevcult) from sowing to harvest;degreeC;p;real;0;1
somupvtsem;sum of development units (upvt) from sowing to harvest;degreeC;p;real;0;1
SON;amount of soil organic N (= Nhumt + Nb) over the profhum depth;kg.ha-1;sc;real;0;0
SONL(1);amount of soil organic N (= Nhumt + Nb) in the layer 1;kg.ha-1;sc;real;0;0
SONL(2);amount of soil organic N (= Nhumt + Nb) in the layer 2;kg.ha-1;sc;real;0;0
SONL(3);amount of soil organic N (= Nhumt + Nb) in the layer 3;kg.ha-1;sc;real;0;0
SONL(4);amount of soil organic N (= Nhumt + Nb) in the layer 4;kg.ha-1;sc;real;0;0
SONL(5);amount of soil organic N (= Nhumt + Nb) in the layer 5;kg.ha-1;sc;real;0;0
SON0;amount of soil organic N (= Nhumt + Nb) over the profhum depth at time 0;kg.ha-1;sc;real;0;0
SONbalance;Soil organic N balance (inputs-outputs) over the whole soil profile;kg.ha-1;sc;real;0;0
SONinputs;Soil organic N inputs to the whole soil profile;kg.ha-1;sc;real;0;0
SONtot;amount of soil organic N (all organic pools) over the whole soil profile;kg.ha-1;sc;real;0;0
sourcepuits;source to sink ratio of assimilates in the plant;SD;p;real;0;2
spfruit;reduction factor on the fruits number due to trophic stress;0-1;p;real;0;2
splai;source to sink ratio of assimilates in the leaves;SD;p;real;0;2
stemflow;daily amount of water runoff along the stem;mm.d-1;p;real;0;1
STN;total soil N (mineral + organic);kg.ha-1;sc;real;0;0
str1intercoupe;average stomatal water stress index during the vegetative phase (emergence - maximum LAI) of forage crops;0-1;p;real;0;0
str2intercoupe;average stomatal water stress index during the reproductive phase (maximum LAI  - maturity) of forage crops;0-1;p;real;0;0
stu1intercoupe;average turgescence water stress index during the vegetative phase (emergence - maximum LAI) of forage crops;0-1;p;real;0;0
stu2intercoupe;average turgescence water stress index during the reproductive phase (maximum LAI  - maturity) of forage crops;0-1;p;real;0;0
sucre;sugar content of harvested organs;0-1;p;real;0;2
sucre_percent;sugar content of harvested organs;% fresh weight;p;real;0;0
surf(ao);fraction of the soil surface in the shade;0-1;p;real;ao;0
surf(as);fraction of the soil surface in the sun;0-1;p;real;as;0
swfac;stomatic water stress index;0-1;p;real;0;2
swfac1moy;average stomatic water stress index over the vegetative stage;0-1;p;real;0;1
swfac2moy;average stomatic water stress index over the reproductive stage;0-1;p;real;0;1
tairveille;mean air temperature at the previous day;degreeC;sc;real;0;0
tauxcouv(n);cover rate of the canopy;SD;sc;real;n;0
tcult;crop surface temperature (daily average);degreeC;sc;real;0;0
tcult_tairveille;difference between canopy temperature and air temperature;degreeC;sc;real;0;0
tcultmax;crop surface temperature (daily maximum);degreeC;sc;real;0;0
tcultmin;crop surface temperature (daily minimum);degreeC;sc;real;0;0
tempeff;efficient temperature for growth;degreeC;p;real;0;1
tetp(n);efficient potential evapotranspiration (entered or calculated);mm.d-1;c;real;n;0
tetstomate;threshold of soil water content limiting transpiration and photosynthesis;% vol;p;real;0;1
teturg;threshold of soil water content limiting the growth of leaves (in surface area);% vol;p;real;0;1
tmax(n);maximum active temperature of atmosphere;degreeC;c;real;n;0
tmaxext(n);maximum temperature of external atmosphere;degreeC;c;real;n;0
tmaxrec(n);recalculated daily maximum temperature (with presence of a snow cover);degreeC;c;real;n;0
tmin(n);minimum active temperature of atmosphere;degreeC;c;real;n;0
tminext(n);minimum temperature of external atmsphere;degreeC;c;real;n;0
tminrec(n);recalculated daily minimum temperature  (with presence of a snow cover);degreeC;c;real;n;0
tmoy(n);mean active temperature of atmosphere;degreeC;c;real;n;0
tmoyext(n);mean temperature of external atmosphere;degreeC;c;real;n;0
tmoyIpltJuin;mean temperature from sowing or planting (iplt stage) until June 30;degreeC;p;real;0;1
tmoyIpltSept;mean temperature from sowing or planting (iplt stage) until September 30;degreeC;p;real;0;1
tncultmat;average of minimum crop temperatures (tcultmin) between the stages lax and rec;degreeC;c;real;0;0
tnhc;cumulative normalized time for the mineralisation of humus;d;sc;real;0;0
tnrc;cumulative normalized time for the mineralisation of organic residues;d;sc;real;0;0
totapN;cumulative amount of mineral N added by mineral fertilisers and organic fertilisers;kg.ha-1;sc;real;0;0
totapNres;cumulative amount of mineral N added by organic fertilisers;kg.ha-1;sc;real;0;0
totir;cumulative amount of irrigation water;mm;sc;real;0;0
tpm(n);water vapour pressure in air;hPa;c;real;n;0
trg(n);active radiation (entered or calculated);MJ.m-2;c;real;n;0
trgext(n);exterior radiation;MJ.m-2;c;real;n;0
trr(n);daily rainfall;mm.d-1;c;real;n;0
TS(1);mean soil temperature (in layer 1);degreeC;sc;real;1;0
TS(2);mean soil temperature (in layer 2);degreeC;sc;real;2;0
TS(3);mean soil temperature (in layer 3);degreeC;sc;real;3;0
TS(4);mean soil temperature (in layer 4);degreeC;sc;real;4;0
TS(5);mean soil temperature (in layer 5);degreeC;sc;real;5;0
tsol(10);temperature in the soil at 10 cm ;degrees;sc;real;0;0
tsol_mean_0_profsem;daily min soil temperature on the layer 1 to sowing depth;d;p;real;0;1
tsol_mean_ger_lev_0_dpthsow;mean soil temperature on the layer 1 to sowing depth  from germination date to emergence;degreeC.d;p;real;0;1
tsol_mean_plt_ger_0_dpthsow;mean soil temperature on the layer 1 to sowing depth  from sowing date to germination ;degreeC.d;p;real;0;1
tsol_min_0_profsem;daily mean soil temperature on the layer 1 to sowing depth;d;p;real;0;1
tsol_min_ger_lev_0_dpthsow;min soil temperature on the layer 1 to sowing depth  from germination date to emergence;degreeC.d;p;real;0;1
tsol_min_plt_ger_0_dpthsow;min soil temperature on the layer 1 to sowing depth  from sowing date to germination ;degreeC.d;p;real;0;1
turfac;turgescence water stress index;0-1;p;real;0;2
turfac1moy;average turgescence water stress index during the vegetative stage;0-1;p;real;0;1
turfac2moy;average turgescence water stress index during the reproductive stage;0-1;p;real;0;1
tustress;reduction factor on leaf growth due to the effective water stress  (= min(turfac,innlai));0-1;sc;real;0;0
tvent(n);mean daily wind speed at 2 m high above soil;m.s-1;c;real;n;0
udevair;effective temperature for crop development, computed with tair;degreeC.d;p;real;0;1
udevcult;effective temperature for crop development, computed with tcult;degreeC.d;p;real;0;1
ulai(n);relative development unit for LAI;0-3;p;real;n;0
upvt(n);development unit;degreeC.d;p;real;n;0
urac;daily relative development unit for root growth;1-3;p;real;0;1
vitmoy;mean canopy growth rate;g.m-2.d-1;p;real;0;2
xmlch1;thickness of the dry layer created by evaporation from the soil and mulch;cm;sc;real;0;0
zrac;maximum depth reached by root system;cm;p;real;0;1
zracmax;maximum rooting depth;cm;p;real;0;1
